"Timestamp","안건 1 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 2 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 3 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 4 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","안건 5 — 최종 인수인계서에 채택하시겠습니까?","이유 (선택)","ENGRA 를 써 보니 어떠셨습니까?","안건 1 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 2 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 3 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 4 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 5 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","ENGRA 를 써 보니 어떠셨습니까?","안건 1 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 2 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 3 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 4 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","안건 5 — 최종 인수인계서로 넘기시겠습니까?","이유 (선택)","ENGRA 를 써 보니 어떠셨습니까?","안건 1 — 최종 인수인계서로 넘기시겠습니까?","안건 1 — 그렇게 판단하신 이유 (선택)","안건 2 — 최종 인수인계서로 넘기시겠습니까?","안건 2 — 그렇게 판단하신 이유 (선택)","안건 3 — 최종 인수인계서로 넘기시겠습니까?","안건 3 — 그렇게 판단하신 이유 (선택)","안건 4 — 최종 인수인계서로 넘기시겠습니까?","안건 4 — 그렇게 판단하신 이유 (선택)","안건 5 — 최종 인수인계서로 넘기시겠습니까?","안건 5 — 그렇게 판단하신 이유 (선택)","ENGRA 를 써 보니 어떠셨습니까? 자유롭게 적어 주세요."
"9/14/2026 14:46:07","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","현장감각에 맞고 업무에 매우 편리할 것 같습니다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:50:44","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","편함, 괜찮은거 같음","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:51:51","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","사용하겠습니다 .운전 중 중요데이터를 시스템을 통하여 체계화하여 인수인계에 중요한 역할이 될 것 같습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:54:13","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:57:38","채택한다","","채택한다","단 평소 자주있는 알람이라면 채택안할거같습니다","채택한다","","채택한다","","채택한다","","dcs와 연동이 잘 된다면 인수인계시 좋은 소스가 될것 같습니다. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 14:58:34","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","현업에서 유용하게 활용할 수 있는 기능 같습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:07:18","채택 안한다","","채택한다","","채택 안한다","","채택한다","","채택한다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:11:54","채택한다","근무 중 발생한 특이사항으로 경과 추이 확인을 공유하기위해 채택","채택한다","순간 이탈이라하더라도 근무자 인지를 위해 채택","채택 안한다","공정 운전에 따른 변화일뿐이라 생각하여 채택하지않음","채택 안한다","공정 운전에 따른 변화일뿐이라 생각하여 채택하지않음","채택한다","공정 자동 운전 중 발생한 특이사항으로 채택","도움될 것 같음. 익숙해지는 과정 및 수정 보완은 필요","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:15:14","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:15:44","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","실제 근무에서 사용하면 아주 큰 도움이 될거같습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:17:11","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:17:51","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","업무에 사용하면 효과가 좋을것 같음","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:18:06","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","싱제 업무에 사용하면 좋을 것 같습니다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:21:07","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:36:19","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","실제로 교대에 활용하기 좋을 것 같습니다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:38:45","채택한다","이상추이로 인수인계 후 지속트렉킹 요함","채택한다","이상신호로 간헐적 헌팅 추적관찰 필요","채택한다","조치필요","채택한다","추이 지속관찰","채택한다","이상신호","실제로 활용시 유용할 것으로 사료됨. 
해당 설비와 관련된 트러블 이력이나 첨부자료(도면,메뉴얼,작업절차)등도 운전시 참고하도록 포함되면 좋겠음. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:47:19","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","실무진에 사용하면 큰 도움 될 것 같다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:54:45","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","네, 실제 교대 현장에서 활용할 수 있는 내용들이 잘 정리되어 있어서 좋았습니다. 초안이 현장의 상황과 감각을 잘 반영하고 있다고 느꼈고, 실제로 교대할 때 참고해서 활용해볼 수 있을 것 같습니다. 앞으로도 현장에서 바로 적용할 수 있는 구체적인 내용들이 많이 담기면 좋겠습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 15:59:25","채택한다","실무진이 사용하면 큰 도움이 될 것 같다","채택한다","실무진이 사용하면 큰 도움이 될것 같다","채택한다","실무진이 사용하면 큰 도움이 될것 같다","채택한다","실무진이 사용하면 큰 도움이  될것 같다","채택한다","실무진이 사용하면 큰 도움이 될것 같다","실무진이 사용하면 큰 도움이 될것 같다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 16:15:39","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","실무진에 아주 큰 도움이 될 것 같습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2026 16:26:18","채택한다","","채택한다","","채택한다","","채택한다","","채택한다","","네, 초안을 작성해보면서 실제 교대 상황에서 어떻게 활용할 수 있을지 생각해볼 수 있어서 좋았습니다. 현장에서 바로 적용할 수 있는 내용들이라 실무적으로 도움이 될 것 같고, 실제 교대 시에도 참고해서 사용할 수 있을 것 같습니다. 앞으로 구체적인 사례나 상황별 예시가 더 추가되면 더욱 유용할 것 같습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
